CONCEPT_CODE	CONCEPT_NAME	DOMAIN_ID	CONCEPT_CLASS_ID	STANDARD_CONCEPT	VOCABULARY_ID	VOCABULARY_NAME
722114	ambrisentan 10 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
722116	ambrisentan 10 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
722122	ambrisentan 5 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
40114	guanfacine	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
197745	guanfacine 1 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
329796	guanfacine 2 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
249389	prazosin 1 MG Extended Release Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
312593	prazosin 1 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
328786	prazosin 2 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
328787	prazosin 5 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
315193	quinethazone 50 MG / reserpine 0.125 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
197625	doxazosin 1 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
328236	doxazosin 2 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
328238	doxazosin 4 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
328239	doxazosin 8 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
197744	guanabenz 8 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
329788	guanabenz 16 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
329793	guanethidine 10 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
328628	hydralazine 100 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
328629	hydralazine 25 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
315768	deserpidine 0.5 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
266604	metyrosine	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
3327	diazoxide	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
1876367	sodium nitroprusside 0.5 MG/ML	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
1876370	sodium nitroprusside 0.5 MG/ML [Nipride]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
1876373	100 ML sodium nitroprusside 0.5 MG/ML Injection [Nipride]	Drug	Quant Branded Drug	S	RxNorm	RxNorm (NLM)
1876374	sodium nitroprusside 0.5 MG/ML Injection	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
OMOP5156014	guanfacine 2 MG Extended Release Oral Capsule [Intuniv] Box of 28 by Takeda	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5156015	guanfacine 3 MG Extended Release Oral Capsule [Intuniv] Box of 28 by Takeda	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5156636	moxonidine 0.4 MG Oral Tablet Box of 98 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5163662	ambrisentan 5 MG Oral Tablet Box of 60 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5163841	doxazosin 4 MG Extended Release Oral Tablet Box of 28 by Aliud	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5164763	urapidil 60 MG Extended Release Oral Capsule Box of 100 by Bluefish	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5164765	urapidil 90 MG Extended Release Oral Capsule Box of 100 by Bluefish	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4928021	2 ML nitroprusside 25 MG/ML Injectable Solution [Nitropress] by Hospira	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960959	doxazosin 4 MG Extended Release Oral Tablet [PZOCIN XL] by Aestura	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960961	doxazosin 4 MG [PZOCIN XL]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960964	doxazosin 2 MG Oral Tablet [Cardil] by Kyungdong	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960965	doxazosin 2 MG Oral Tablet by BC World	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960966	doxazosin 2 MG Oral Tablet by Legochem	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960970	doxazosin 2 MG Oral Tablet [CADLIN] by Daewoo	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960972	doxazosin 2 MG Oral Tablet [CADORAN] by Hankook	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960973	doxazosin 2 MG Oral Tablet [CADURAMIN]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960975	doxazosin 2 MG Oral Tablet [CARON]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960976	doxazosin 2 MG Oral Tablet [CARON] by Austin	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960983	doxazosin 2 MG [Cardil]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4960989	doxazosin 2 MG [CARZORA]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4961002	doxazosin Oral Tablet [Cardil]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4961003	doxazosin Oral Tablet [CADERINA]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4961004	doxazosin Oral Tablet [CADLIN]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4961006	doxazosin Oral Tablet [CADURAMIN]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4961011	doxazosin Extended Release Oral Tablet [PZOCIN XL]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4963713	ambrisentan 10 MG [AMPULM]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4965281	bosentan 62.5 MG Oral Tablet [BOSEN V]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP4965282	bosentan 62.5 MG Oral Tablet [BOSEN V] by LG	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5121206	1 ML clonidine 0.15 MG/ML Injection Box of 5 by Medsurge	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132521	moxonidine 0.4 MG Oral Tablet Box of 30 by APO	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132530	moxonidine 0.4 MG Oral Tablet [Moxotens] Box of 84	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132533	moxonidine 0.4 MG Oral Tablet [Moxotens] Box of 28	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132535	moxonidine 0.4 MG Oral Tablet [Moxotens] Box of 10	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132541	moxonidine 0.4 MG Oral Tablet [Normatens] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132548	moxonidine 0.4 MG [Normatens]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132549	moxonidine 0.3 MG Oral Tablet [Physiotens] Box of 84	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132550	moxonidine 0.3 MG Oral Tablet [Physiotens] Box of 56	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132553	moxonidine 0.3 MG Oral Tablet [Physiotens] Box of 7	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132565	moxonidine 0.3 MG Oral Tablet [Normatens] Box of 10	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132572	moxonidine 0.2 MG Oral Tablet [Physiotens] Box of 10	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132576	moxonidine 0.2 MG Oral Tablet Box of 84 by APO	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132580	moxonidine 0.2 MG Oral Tablet Box of 30 by APO	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132587	moxonidine 0.2 MG Oral Tablet by APO	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132588	moxonidine 0.2 MG Oral Tablet [Moxotens] Box of 98	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132596	moxonidine 0.2 MG Oral Tablet [Moxotens]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132598	moxonidine 0.2 MG Oral Tablet [Normatens] Box of 84	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132599	moxonidine 0.2 MG Oral Tablet [Normatens] Box of 56	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132601	moxonidine 0.2 MG Oral Tablet [Normatens] Box of 28	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132602	moxonidine 0.2 MG Oral Tablet [Normatens] Box of 14	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132605	moxonidine 0.2 MG Oral Tablet [Normatens]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132606	moxonidine 0.2 MG [Moxotens]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5132608	moxonidine Oral Tablet [Moxotens]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138095	clonidine 0.15 MG/ML Injection by Medsurge	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138508	doxazosin 4 MG Oral Tablet [Carduran] Box of 28	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138514	doxazosin 2 MG Oral Tablet [Carduran] Box of 10	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138516	doxazosin 2 MG [Carduran]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138517	doxazosin 1 MG Oral Tablet Box of 30	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138519	doxazosin 1 MG Oral Tablet [Carduran] Box of 28	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138520	doxazosin 1 MG Oral Tablet [Carduran]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5138522	doxazosin Oral Tablet [Carduran]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5140876	prazosin 5 MG Oral Tablet by APO	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5141969	ambrisentan 10 MG Oral Tablet Box of 30 by Cipla	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5141977	ambrisentan 5 MG Oral Tablet Box of 10 by Cipla	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5141978	ambrisentan 5 MG Oral Tablet by Cipla	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5141980	ambrisentan 5 MG Oral Tablet [Pulmoris] Box of 10	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142873	bosentan 125 MG Oral Tablet Box of 500	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142874	bosentan 125 MG Oral Tablet Box of 112 by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142878	bosentan 125 MG Oral Tablet Box of 100 by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142879	bosentan 125 MG Oral Tablet Box of 100 by Intas	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142882	bosentan 125 MG Oral Tablet Box of 60 by Cipla	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142884	bosentan 125 MG Oral Tablet Box of 60 by Sun	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142885	bosentan 125 MG Oral Tablet Box of 60 by Actelion	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142890	bosentan 125 MG Oral Tablet Box of 60 by Dr Reddy's	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142893	bosentan 125 MG Oral Tablet Box of 60 by Accord	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142897	bosentan 125 MG Oral Tablet Box of 56 by Ranbaxy	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142908	bosentan 125 MG Oral Tablet by Sandoz	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142917	bosentan 125 MG Oral Tablet [Bosleer] Box of 56	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142919	bosentan 125 MG Oral Tablet [Bosleer]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142924	bosentan 62.5 MG Oral Tablet Box of 500	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142925	bosentan 62.5 MG Oral Tablet Box of 112 by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142928	bosentan 62.5 MG Oral Tablet Box of 112	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142929	bosentan 62.5 MG Oral Tablet Box of 100 by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142936	bosentan 62.5 MG Oral Tablet Box of 60 by Actelion	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142937	bosentan 62.5 MG Oral Tablet Box of 60 by Sandoz	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142941	bosentan 62.5 MG Oral Tablet Box of 60 by Dr Reddy's	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142947	bosentan 62.5 MG Oral Tablet Box of 56 by Intas	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142949	bosentan 62.5 MG Oral Tablet Box of 14 by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142950	bosentan 62.5 MG Oral Tablet Box of 14 by Intas	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142954	bosentan 62.5 MG Oral Tablet by Astron	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5142967	bosentan 62.5 MG Oral Tablet [Bosleer] Box of 14	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5144328	macitentan 10 MG Oral Tablet Box of 9	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5144329	macitentan 10 MG Oral Tablet Box of 6	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5144330	macitentan 10 MG Oral Tablet Box of 3	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5144497	methyldopa 250 MG Oral Tablet Box of 100 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
OMOP5144500	methyldopa 250 MG Oral Tablet Box of 30 by Mylan	Drug	Marketed Product	S	RxNorm Extension	OMOP RxNorm Extension
102318	reserpine 0.25 MG Oral Tablet [Serpasil]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
102321	Rauwolfia alkaloids 2 MG Oral Tablet [Rauwiloid]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
102325	bethanidine 50 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
104358	debrisoquin 10 MG Oral Tablet [Declinax]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
104367	doxazosin 1 MG Oral Tablet [Cardura]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
242955	trimethaphan 1 MG/ML Injectable Solution	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
688644	hydrochlorothiazide 25 MG / methyldopa 250 MG [Aldoril]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
335251	moxonidine 0.2 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
335252	moxonidine 0.4 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
141894	prazosin 0.5 MG Oral Tablet [Alphavase]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
141895	prazosin 1 MG Oral Tablet [Alphavase]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
152660	prazosin 0.5 MG Oral Tablet [Kentovace]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
152661	prazosin 1 MG Oral Tablet [Kentovace]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
152967	moxonidine 0.4 MG Oral Tablet [Physiotens]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
197980	metyrosine 250 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
565834	methyldopa 500 MG [Aldomet]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
7476	nitroprusside	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
201350	minoxidil 10 MG Oral Tablet [Loniten]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
201353	clonidine hydrochloride 0.15 MG/ML Injectable Solution [Catapres]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
204474	diazoxide 15 MG/ML Injectable Solution	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
205332	chlorothiazide 150 MG / methyldopa 250 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
205430	deserpidine 0.25 MG Oral Tablet [Harmonyl]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
567241	guanethidine 10 MG / hydrochlorothiazide 25 MG [Esimil]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
205474	deserpidine 0.125 MG / hydrochlorothiazide 25 MG Oral Tablet [Oreticyl]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
205478	deserpidine 0.25 MG / hydrochlorothiazide 25 MG Oral Tablet [Oreticyl]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
205544	doxazosin 8 MG Oral Tablet [Cardura]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
206387	guanabenz 4 MG Oral Tablet [Wytensin]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
206558	hydroflumethiazide 25 MG / reserpine 0.125 MG Oral Tablet [Salutensin-Demi]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
208065	bendroflumethiazide 4 MG / Rauwolfia serpentina (USP) 50 MG Oral Tablet [Flumezide]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
208086	hydrochlorothiazide 25 MG / reserpine 0.125 MG Oral Tablet [Hydroserp]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
566444	doxazosin 8 MG [Cardura]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
208825	polythiazide 2 MG / reserpine 0.25 MG Oral Tablet [Renese-R]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
208980	prazosin 2 MG Oral Capsule [Minipress]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
568391	diazoxide 15 MG/ML [Hyperstat]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
571847	trimethaphan 50 MG/ML [Arfonad]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
566138	guanethidine 10 MG [Ismelin]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
566139	guanethidine 25 MG [Ismelin]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
235829	methoserpidine	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
240793	2 ML sodium nitroprusside 25 MG/ML Injection	Drug	Quant Clinical Drug	S	RxNorm	RxNorm (NLM)
573933	chlorthalidone 25 MG / reserpine 0.125 MG [Demi-Regroton]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
249390	prazosin 2 MG Extended Release Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
316632	rescinnamine 0.25 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
567888	methyclothiazide 2.5 MG / reserpine 0.1 MG [Diutensen-R]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
250547	moxonidine 0.2 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
250658	bethanidine 10 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
566386	deserpidine 0.25 MG / methyclothiazide 5 MG [Enduronyl]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
566388	deserpidine 0.5 MG / methyclothiazide 5 MG [Enduronyl]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
568819	hydrochlorothiazide 50 MG / reserpine 0.125 MG [Hydropres]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
568152	reserpine 0.1 MG / trichlormethiazide 2 MG [Metatensin]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
568154	reserpine 0.1 MG / trichlormethiazide 4 MG [Metatensin]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
310355	flumethiazide 400 MG / potassium chloride 5.4 MEQ / Rauwolfia serpentina (USP) 50 MG Delayed Release Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
310665	guanethidine 10 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
310666	guanethidine 25 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
5784	indoramin	Drug	Ingredient	S	RxNorm	RxNorm (NLM)
567386	hydroflumethiazide 25 MG / reserpine 0.125 MG [Salutensin-Demi]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
315800	diazoxide 15 MG/ML	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
329790	guanabenz 8 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
330091	pargyline 10 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
330527	prazosin 1 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
333208	prazosin 0.5 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
335096	ketanserin 20 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
410558	urapidil 30 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
410904	mefruside 7.5 MG / reserpine 0.075 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
411775	methyldopa 175 MG Extended Release Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
