DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
C04.1,C041,Malignant neoplasm of lateral floor of mouth,Malignant neoplasm of lateral floor of mouth,35206068,Malignant neoplasm of lateral floor of mouth,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C04.8,C048,Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm of overlapping sites of floor of mouth,35206069,Malignant neoplasm of overlapping sites of floor of mouth,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C04.9,C049,"Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified",35206070,"Malignant neoplasm of floor of mouth, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C05,NA,NA,NA,1567465,Malignant neoplasm of palate,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C05.0,C050,Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,35206071,Malignant neoplasm of hard palate,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C05.1,C051,Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,35206072,Malignant neoplasm of soft palate,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C05.2,C052,Malignant neoplasm of uvula,Malignant neoplasm of uvula,35206073,Malignant neoplasm of uvula,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C05.8,C058,Malignant neoplasm of overlapping sites of palate,Malignant neoplasm of overlapping sites of palate,35206074,Malignant neoplasm of overlapping sites of palate,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C05.9,C059,"Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",35206075,"Malignant neoplasm of palate, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C06,NA,NA,NA,1567466,Malignant neoplasm of other and unspecified parts of mouth,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C06.0,C060,Malignant neoplasm of cheek mucosa,Malignant neoplasm of cheek mucosa,35206076,Malignant neoplasm of cheek mucosa,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C06.1,C061,Malignant neoplasm of vestibule of mouth,Malignant neoplasm of vestibule of mouth,35206077,Malignant neoplasm of vestibule of mouth,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C06.2,C062,Malignant neoplasm of retromolar area,Malignant neoplasm of retromolar area,35206078,Malignant neoplasm of retromolar area,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C06.8,NA,NA,NA,1567467,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C06.80,C0680,Malignant neoplasm of ovrlp sites of unsp parts of mouth,Malignant neoplasm of overlapping sites of unspecified parts of mouth,45537790,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C06.89,C0689,Malignant neoplasm of overlapping sites of oth prt mouth,Malignant neoplasm of overlapping sites of other parts of mouth,45561783,Malignant neoplasm of overlapping sites of other parts of mouth,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C06.9,C069,"Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified",35206079,"Malignant neoplasm of mouth, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C07,NA,NA,NA,35206080,Malignant neoplasm of parotid gland,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C08,NA,NA,NA,1567468,Malignant neoplasm of other and unspecified major salivary glands,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C08.0,C080,Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,35206081,Malignant neoplasm of submandibular gland,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C08.1,C081,Malignant neoplasm of sublingual gland,Malignant neoplasm of sublingual gland,35206082,Malignant neoplasm of sublingual gland,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C08.9,C089,"Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm of major salivary gland, unspecified",35206083,"Malignant neoplasm of major salivary gland, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C09,NA,NA,NA,1567469,Malignant neoplasm of tonsil,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C09.0,C090,Malignant neoplasm of tonsillar fossa,Malignant neoplasm of tonsillar fossa,35206084,Malignant neoplasm of tonsillar fossa,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C09.1,C091,Malig neoplasm of tonsillar pillar (anterior) (posterior),Malignant neoplasm of tonsillar pillar (anterior) (posterior),35206085,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C09.8,C098,Malignant neoplasm of overlapping sites of tonsil,Malignant neoplasm of overlapping sites of tonsil,35206086,Malignant neoplasm of overlapping sites of tonsil,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C09.9,C099,"Malignant neoplasm of tonsil, unspecified","Malignant neoplasm of tonsil, unspecified",35206087,"Malignant neoplasm of tonsil, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10,NA,NA,NA,1567470,Malignant neoplasm of oropharynx,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C10.0,C100,Malignant neoplasm of vallecula,Malignant neoplasm of vallecula,35206088,Malignant neoplasm of vallecula,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.1,C101,Malignant neoplasm of anterior surface of epiglottis,Malignant neoplasm of anterior surface of epiglottis,35206089,Malignant neoplasm of anterior surface of epiglottis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.2,C102,Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm of lateral wall of oropharynx,35206090,Malignant neoplasm of lateral wall of oropharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.3,C103,Malignant neoplasm of posterior wall of oropharynx,Malignant neoplasm of posterior wall of oropharynx,35206091,Malignant neoplasm of posterior wall of oropharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.4,C104,Malignant neoplasm of branchial cleft,Malignant neoplasm of branchial cleft,35206092,Malignant neoplasm of branchial cleft,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.8,C108,Malignant neoplasm of overlapping sites of oropharynx,Malignant neoplasm of overlapping sites of oropharynx,35206093,Malignant neoplasm of overlapping sites of oropharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C10.9,C109,"Malignant neoplasm of oropharynx, unspecified","Malignant neoplasm of oropharynx, unspecified",35206094,"Malignant neoplasm of oropharynx, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11,NA,NA,NA,1567471,Malignant neoplasm of nasopharynx,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C11.0,C110,Malignant neoplasm of superior wall of nasopharynx,Malignant neoplasm of superior wall of nasopharynx,35206095,Malignant neoplasm of superior wall of nasopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11.1,C111,Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,35206096,Malignant neoplasm of posterior wall of nasopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11.2,C112,Malignant neoplasm of lateral wall of nasopharynx,Malignant neoplasm of lateral wall of nasopharynx,35206097,Malignant neoplasm of lateral wall of nasopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11.3,C113,Malignant neoplasm of anterior wall of nasopharynx,Malignant neoplasm of anterior wall of nasopharynx,35206098,Malignant neoplasm of anterior wall of nasopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11.8,C118,Malignant neoplasm of overlapping sites of nasopharynx,Malignant neoplasm of overlapping sites of nasopharynx,35206099,Malignant neoplasm of overlapping sites of nasopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C11.9,C119,"Malignant neoplasm of nasopharynx, unspecified","Malignant neoplasm of nasopharynx, unspecified",35206100,"Malignant neoplasm of nasopharynx, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C12,NA,NA,NA,35206101,Malignant neoplasm of pyriform sinus,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C13,NA,NA,NA,1567472,Malignant neoplasm of hypopharynx,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C13.0,C130,Malignant neoplasm of postcricoid region,Malignant neoplasm of postcricoid region,35206102,Malignant neoplasm of postcricoid region,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C13.1,C131,"Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect","Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",35206103,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C13.2,C132,Malignant neoplasm of posterior wall of hypopharynx,Malignant neoplasm of posterior wall of hypopharynx,35206104,Malignant neoplasm of posterior wall of hypopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C13.8,C138,Malignant neoplasm of overlapping sites of hypopharynx,Malignant neoplasm of overlapping sites of hypopharynx,35206105,Malignant neoplasm of overlapping sites of hypopharynx,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C13.9,C139,"Malignant neoplasm of hypopharynx, unspecified","Malignant neoplasm of hypopharynx, unspecified",35206106,"Malignant neoplasm of hypopharynx, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C14,NA,NA,NA,1567473,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C14.0,C140,"Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified",35206107,"Malignant neoplasm of pharynx, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C14.2,C142,Malignant neoplasm of Waldeyer's ring,Malignant neoplasm of Waldeyer's ring,35206108,Malignant neoplasm of Waldeyer's ring,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C14.8,C148,"Malig neoplm of ovrlp sites of lip, oral cavity and pharynx","Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",35206109,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C15,NA,NA,NA,1567474,Malignant neoplasm of esophagus,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C15.3,C153,Malignant neoplasm of upper third of esophagus,Malignant neoplasm of upper third of esophagus,35206110,Malignant neoplasm of upper third of esophagus,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C15.4,C154,Malignant neoplasm of middle third of esophagus,Malignant neoplasm of middle third of esophagus,35206111,Malignant neoplasm of middle third of esophagus,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C15.5,C155,Malignant neoplasm of lower third of esophagus,Malignant neoplasm of lower third of esophagus,35206112,Malignant neoplasm of lower third of esophagus,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C15.8,C158,Malignant neoplasm of overlapping sites of esophagus,Malignant neoplasm of overlapping sites of esophagus,35206113,Malignant neoplasm of overlapping sites of esophagus,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C15.9,C159,"Malignant neoplasm of esophagus, unspecified","Malignant neoplasm of esophagus, unspecified",35206114,"Malignant neoplasm of esophagus, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16,NA,NA,NA,1567475,Malignant neoplasm of stomach,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C16.0,C160,Malignant neoplasm of cardia,Malignant neoplasm of cardia,35206115,Malignant neoplasm of cardia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.1,C161,Malignant neoplasm of fundus of stomach,Malignant neoplasm of fundus of stomach,35206116,Malignant neoplasm of fundus of stomach,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.2,C162,Malignant neoplasm of body of stomach,Malignant neoplasm of body of stomach,35206117,Malignant neoplasm of body of stomach,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.3,C163,Malignant neoplasm of pyloric antrum,Malignant neoplasm of pyloric antrum,35206118,Malignant neoplasm of pyloric antrum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.4,C164,Malignant neoplasm of pylorus,Malignant neoplasm of pylorus,35206119,Malignant neoplasm of pylorus,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.5,C165,"Malignant neoplasm of lesser curvature of stomach, unsp","Malignant neoplasm of lesser curvature of stomach, unspecified",35206120,"Malignant neoplasm of lesser curvature of stomach, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.6,C166,"Malignant neoplasm of greater curvature of stomach, unsp","Malignant neoplasm of greater curvature of stomach, unspecified",35206121,"Malignant neoplasm of greater curvature of stomach, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.8,C168,Malignant neoplasm of overlapping sites of stomach,Malignant neoplasm of overlapping sites of stomach,35206122,Malignant neoplasm of overlapping sites of stomach,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C16.9,C169,"Malignant neoplasm of stomach, unspecified","Malignant neoplasm of stomach, unspecified",35206123,"Malignant neoplasm of stomach, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17,NA,NA,NA,1567476,Malignant neoplasm of small intestine,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C17.0,C170,Malignant neoplasm of duodenum,Malignant neoplasm of duodenum,35206124,Malignant neoplasm of duodenum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17.1,C171,Malignant neoplasm of jejunum,Malignant neoplasm of jejunum,35206125,Malignant neoplasm of jejunum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17.2,C172,Malignant neoplasm of ileum,Malignant neoplasm of ileum,35206126,Malignant neoplasm of ileum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17.3,C173,"Meckel's diverticulum, malignant","Meckel's diverticulum, malignant",35206127,"Meckel's diverticulum, malignant",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17.8,C178,Malignant neoplasm of overlapping sites of small intestine,Malignant neoplasm of overlapping sites of small intestine,35206128,Malignant neoplasm of overlapping sites of small intestine,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C17.9,C179,"Malignant neoplasm of small intestine, unspecified","Malignant neoplasm of small intestine, unspecified",35206129,"Malignant neoplasm of small intestine, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18,NA,NA,NA,1567477,Malignant neoplasm of colon,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C18.0,C180,Malignant neoplasm of cecum,Malignant neoplasm of cecum,35206130,Malignant neoplasm of cecum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.1,C181,Malignant neoplasm of appendix,Malignant neoplasm of appendix,35206131,Malignant neoplasm of appendix,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.2,C182,Malignant neoplasm of ascending colon,Malignant neoplasm of ascending colon,35206132,Malignant neoplasm of ascending colon,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.3,C183,Malignant neoplasm of hepatic flexure,Malignant neoplasm of hepatic flexure,35206133,Malignant neoplasm of hepatic flexure,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.4,C184,Malignant neoplasm of transverse colon,Malignant neoplasm of transverse colon,35206134,Malignant neoplasm of transverse colon,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.5,C185,Malignant neoplasm of splenic flexure,Malignant neoplasm of splenic flexure,35206135,Malignant neoplasm of splenic flexure,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.6,C186,Malignant neoplasm of descending colon,Malignant neoplasm of descending colon,35206136,Malignant neoplasm of descending colon,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.7,C187,Malignant neoplasm of sigmoid colon,Malignant neoplasm of sigmoid colon,35206137,Malignant neoplasm of sigmoid colon,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.8,C188,Malignant neoplasm of overlapping sites of colon,Malignant neoplasm of overlapping sites of colon,35206138,Malignant neoplasm of overlapping sites of colon,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C18.9,C189,"Malignant neoplasm of colon, unspecified","Malignant neoplasm of colon, unspecified",35206139,"Malignant neoplasm of colon, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C19,NA,NA,NA,35206140,Malignant neoplasm of rectosigmoid junction,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C20,NA,NA,NA,35206141,Malignant neoplasm of rectum,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C21,NA,NA,NA,1567478,Malignant neoplasm of anus and anal canal,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C21.0,C210,"Malignant neoplasm of anus, unspecified","Malignant neoplasm of anus, unspecified",35206142,"Malignant neoplasm of anus, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C21.1,C211,Malignant neoplasm of anal canal,Malignant neoplasm of anal canal,35206143,Malignant neoplasm of anal canal,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C21.2,C212,Malignant neoplasm of cloacogenic zone,Malignant neoplasm of cloacogenic zone,35206144,Malignant neoplasm of cloacogenic zone,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C21.8,C218,"Malig neoplasm of ovrlp sites of rectum, anus and anal canal","Malignant neoplasm of overlapping sites of rectum, anus and anal canal",35206145,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22,NA,NA,NA,1567479,Malignant neoplasm of liver and intrahepatic bile ducts,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C22.0,C220,Liver cell carcinoma,Liver cell carcinoma,35206146,Liver cell carcinoma,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.1,C221,Intrahepatic bile duct carcinoma,Intrahepatic bile duct carcinoma,35206147,Intrahepatic bile duct carcinoma,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.2,C222,Hepatoblastoma,Hepatoblastoma,35206148,Hepatoblastoma,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.3,C223,Angiosarcoma of liver,Angiosarcoma of liver,35206149,Angiosarcoma of liver,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.4,C224,Other sarcomas of liver,Other sarcomas of liver,35206150,Other sarcomas of liver,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.7,C227,Other specified carcinomas of liver,Other specified carcinomas of liver,35206151,Other specified carcinomas of liver,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C22.8,C228,"Malignant neoplasm of liver, primary, unspecified as to type","Malignant neoplasm of liver, primary, unspecified as to type",45585987,"Malignant neoplasm of liver, primary, unspecified as to type",Condition,ICD10CM,4-char billing code,1/1/1970,12/31/2099,TRUE
C22.9,C229,"Malig neoplasm of liver, not specified as primary or sec","Malignant neoplasm of liver, not specified as primary or secondary",35206152,"Malignant neoplasm of liver, not specified as primary or secondary",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C23,NA,NA,NA,35206153,Malignant neoplasm of gallbladder,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C24,NA,NA,NA,1567480,Malignant neoplasm of other and unspecified parts of biliary tract,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C24.0,C240,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm of extrahepatic bile duct,35206154,Malignant neoplasm of extrahepatic bile duct,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C24.1,C241,Malignant neoplasm of ampulla of Vater,Malignant neoplasm of ampulla of Vater,35206155,Malignant neoplasm of ampulla of Vater,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C24.8,C248,Malignant neoplasm of overlapping sites of biliary tract,Malignant neoplasm of overlapping sites of biliary tract,35206156,Malignant neoplasm of overlapping sites of biliary tract,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C24.9,C249,"Malignant neoplasm of biliary tract, unspecified","Malignant neoplasm of biliary tract, unspecified",35206157,"Malignant neoplasm of biliary tract, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C25,NA,NA,NA,1567481,Malignant neoplasm of pancreas,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C25.0,C250,Malignant neoplasm of head of pancreas,Malignant neoplasm of head of pancreas,35206158,Malignant neoplasm of head of pancreas,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
