"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"I70.332","I70332","Athscl unsp type bypass of the right leg w ulcer of calf","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf",45596237,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.333","I70333","Athscl unsp type bypass of the right leg w ulcer of ankle","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle",45586613,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.334","I70334","Athscl unsp type bypass of r leg w ulcer of heel and midft","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot",45548062,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.335","I70335","Athscl unsp type bypass of right leg w ulcer oth prt foot","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot",45591498,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.338","I70338","Athscl unsp type bypass of right leg w ulcer oth prt low leg","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg",45548063,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.339","I70339","Athscl unsp type bypass of right leg w ulcer of unsp site","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site",45567212,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.34",NA,NA,NA,1569285,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.341","I70341","Athscl unsp type bypass of the left leg w ulcer of thigh","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh",45562389,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.342","I70342","Athscl unsp type bypass of the left leg w ulceration of calf","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf",45538423,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.343","I70343","Athscl unsp type bypass of the left leg w ulcer of ankle","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle",45557574,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.344","I70344","Athscl unsp type bypass of left leg w ulc of heel and midft","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot",45552829,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.345","I70345","Athscl unsp type bypass of the left leg w ulcer oth prt foot","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot",45557575,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.348","I70348","Athscl unsp type bypass of left leg w ulcer oth prt low leg","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg",45562390,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.349","I70349","Athscl unsp type bypass of the left leg w ulcer of unsp site","Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site",45562391,"Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.35","I7035","Athscl unsp type bypass graft(s) of extremity w ulceration","Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration",45557576,"Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31",TRUE
"I70.36",NA,NA,NA,1569286,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.361","I70361","Athscl unsp type bypass of the extrm w gangrene, right leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",45533484,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.362","I70362","Athscl unsp type bypass of the extrm w gangrene, left leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",45572119,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.363","I70363","Athscl unsp type bypass of the extrm w gangrene, bi legs","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",45533485,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.368","I70368","Athscl unsp type bypass of the extrm w gangrene, oth extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",45538424,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.369","I70369","Athscl unsp type bypass of the extrm w gangrene, unsp extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",45572120,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.39",NA,NA,NA,1569287,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.391","I70391","Oth athscl unsp type bypass of the extremities, right leg","Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",45567213,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.392","I70392","Oth athscl unsp type bypass of the extremities, left leg","Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",45562392,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
