"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"C81.08","C8108","Nodular lymphocyte predom Hodgkin lymphoma, nodes mult site","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",45595694,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.09","C8109","Nodlr lymphocy predom Hdgkn lymph, extrnod & solid org site","Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",45542634,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.0A",NA,NA,NA,1102854,"Nodular lymphocyte predominant Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.1",NA,NA,NA,1567635,"Nodular sclerosis Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.10","C8110","Nodular sclerosis Hodgkin lymphoma, unsp site","Nodular sclerosis Hodgkin lymphoma, unspecified site",45581229,"Nodular sclerosis Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.11","C8111","Nodlr scler Hdgkn lymph, nodes of head, face, and neck","Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",45561839,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.12","C8112","Nodular sclerosis Hodgkin lymphoma, intrathorac nodes","Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",45581230,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.13","C8113","Nodular sclerosis Hodgkin lymphoma, intra-abd nodes","Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",45542635,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.14","C8114","Nodlr scler Hdgkn lymph, nodes of axla and upper limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",45532942,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.15","C8115","Nodlr scler Hdgkn lymph, nodes of ing rgn and low limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45576345,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.16","C8116","Nodular sclerosis Hodgkin lymphoma, intrapelv nodes","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",45537846,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.17","C8117","Nodular sclerosis Hodgkin lymphoma, spleen","Nodular sclerosis Hodgkin lymphoma, spleen",45600536,"Nodular sclerosis Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.18","C8118","Nodular sclerosis Hodgkin lymphoma, nodes mult site","Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",45537847,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.19","C8119","Nodlr scler Hdgkn lymph, extrnod and solid organ sites","Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",45586031,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.1A",NA,NA,NA,1102855,"Nodular sclerosis Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.2",NA,NA,NA,1567636,"Mixed cellularity Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.20","C8120","Mixed cellularity Hodgkin lymphoma, unsp site","Mixed cellularity Hodgkin lymphoma, unspecified site",45590929,"Mixed cellularity Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.21","C8121","Mix cellular Hdgkn lymph, nodes of head, face, and nk","Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",45552291,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.22","C8122","Mixed cellular Hodgkin lymphoma, intrathorac nodes","Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",45605292,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.23","C8123","Mixed cellular Hodgkin lymphoma, intra-abd nodes","Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",45571544,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.24","C8124","Mix cellular Hdgkn lymph, nodes of axla and upper limb","Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",45605293,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.25","C8125","Mix cellular Hdgkn lymph, nodes of ing rgn and low lmb","Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45537848,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.26","C8126","Mixed cellular Hodgkin lymphoma, intrapelv nodes","Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",45552292,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.27","C8127","Mixed cellularity Hodgkin lymphoma, spleen","Mixed cellularity Hodgkin lymphoma, spleen",45605294,"Mixed cellularity Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.28","C8128","Mixed cellular Hodgkin lymphoma, nodes mult site","Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",45566623,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.29","C8129","Mix cellular Hdgkn lymph, extrnod and solid org sites","Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",45576346,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.2A",NA,NA,NA,1102856,"Mixed cellularity Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.3",NA,NA,NA,1567637,"Lymphocyte depleted Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.30","C8130","Lymphocyte depleted Hodgkin lymphoma, unsp site","Lymphocyte depleted Hodgkin lymphoma, unspecified site",45576347,"Lymphocyte depleted Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.31","C8131","Lymphocy deplet Hdgkn lymph, nodes of head, face, & nk","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",45566624,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.32","C8132","Lymphocy depleted Hodgkin lymphoma, intrathorac nodes","Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",45537849,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.33","C8133","Lymphocy depleted Hodgkin lymphoma, intra-abd nodes","Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",45590930,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.34","C8134","Lymphocy deplet Hdgkn lymph, nodes of axla and upr lmb","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",45547531,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.35","C8135","Lymphocy deplet Hdgkn lymph,nodes of ing rgn & low lmb","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45595695,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.36","C8136","Lymphocy depleted Hodgkin lymphoma, intrapelv nodes","Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",45605295,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.37","C8137","Lymphocyte depleted Hodgkin lymphoma, spleen","Lymphocyte depleted Hodgkin lymphoma, spleen",45605296,"Lymphocyte depleted Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.38","C8138","Lymphocy depleted Hodgkin lymphoma, nodes mult site","Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",45581231,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.39","C8139","Lymphocy deplet Hdgkn lymph, extrnod & solid org site","Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",45542636,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.3A",NA,NA,NA,1102857,"Lymphocyte depleted Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.4",NA,NA,NA,1567638,"Lymphocyte-rich Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.40","C8140","Lymphocyte-rich Hodgkin lymphoma, unspecified site","Lymphocyte-rich Hodgkin lymphoma, unspecified site",45557020,"Lymphocyte-rich Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.41","C8141","Lymp-rich Hodgkin lymph, nodes of head, face, and neck","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",45557021,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.42","C8142","Lymp-rich Hodgkin lymphoma, intrathorac nodes","Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",45566625,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.43","C8143","Lymp-rich Hodgkin lymphoma, intra-abd lymph nodes","Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",45566626,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.44","C8144","Lymp-rich Hdgkn lymph, nodes of axilla and upper limb","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",45532943,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.45","C8145","Lymp-rich Hdgkn lymph, nodes of ing rgn and lower limb","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45561840,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.46","C8146","Lymp-rich Hodgkin lymphoma, intrapelv lymph nodes","Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",45595696,"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.47","C8147","Lymphocyte-rich Hodgkin lymphoma, spleen","Lymphocyte-rich Hodgkin lymphoma, spleen",45605297,"Lymphocyte-rich Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.48","C8148","Lymp-rich Hodgkin lymphoma, lymph nodes mult site","Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",45600537,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.49","C8149","Lymp-rich Hodgkin lymph, extrnod and solid organ sites","Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",45590931,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.4A",NA,NA,NA,1102858,"Lymphocyte-rich Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.7",NA,NA,NA,1567639,"Other Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.70","C8170","Other Hodgkin lymphoma, unspecified site","Other Hodgkin lymphoma, unspecified site",45590932,"Other Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.71","C8171","Oth Hodgkin lymphoma, nodes of head, face, and neck","Other Hodgkin lymphoma, lymph nodes of head, face, and neck",45561841,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.72","C8172","Other Hodgkin lymphoma, intrathoracic lymph nodes","Other Hodgkin lymphoma, intrathoracic lymph nodes",45552294,"Other Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.73","C8173","Oth Hodgkin lymphoma, intra-abdominal lymph nodes","Other Hodgkin lymphoma, intra-abdominal lymph nodes",45600538,"Other Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.74","C8174","Oth Hodgkin lymphoma, nodes of axilla and upper limb","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566627,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.75","C8175","Oth Hodgkin lymph, nodes of ing region and lower limb","Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45552295,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.76","C8176","Other Hodgkin lymphoma, intrapelvic lymph nodes","Other Hodgkin lymphoma, intrapelvic lymph nodes",45595697,"Other Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.77","C8177","Other Hodgkin lymphoma, spleen","Other Hodgkin lymphoma, spleen",45547533,"Other Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.78","C8178","Oth Hodgkin lymphoma, lymph nodes mult site","Other Hodgkin lymphoma, lymph nodes of multiple sites",45605298,"Other Hodgkin lymphoma, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.79","C8179","Oth Hodgkin lymphoma, extrnod and solid organ sites","Other Hodgkin lymphoma, extranodal and solid organ sites",45600539,"Other Hodgkin lymphoma, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.7A",NA,NA,NA,1102859,"Other Hodgkin lymphoma, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C81.9",NA,NA,NA,1567640,"Hodgkin lymphoma, unspecified","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.90","C8190","Hodgkin lymphoma, unspecified, unspecified site","Hodgkin lymphoma, unspecified, unspecified site",45600540,"Hodgkin lymphoma, unspecified, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.91","C8191","Hodgkin lymphoma, unsp, lymph nodes of head, face, and neck","Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",45561842,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.92","C8192","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",45571546,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.93","C8193","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",45571547,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.94","C8194","Hodgkin lymphoma, unsp, lymph nodes of axilla and upper limb","Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",45566628,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.95","C8195","Hodgkin lymphoma, unsp, nodes of ing region and lower limb","Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45552296,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.96","C8196","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",45557022,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.97","C8197","Hodgkin lymphoma, unspecified, spleen","Hodgkin lymphoma, unspecified, spleen",45571548,"Hodgkin lymphoma, unspecified, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.98","C8198","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",45581233,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.99","C8199","Hodgkin lymphoma, unsp, extranodal and solid organ sites","Hodgkin lymphoma, unspecified, extranodal and solid organ sites",45576348,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.9A",NA,NA,NA,1102860,"Hodgkin lymphoma, unspecified, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C82",NA,NA,NA,1567641,"Follicular lymphoma","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"C82.0",NA,NA,NA,1567642,"Follicular lymphoma grade I","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C82.00","C8200","Follicular lymphoma grade I, unspecified site","Follicular lymphoma grade I, unspecified site",45557023,"Follicular lymphoma grade I, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.01","C8201","Follicular lymphoma grade I, nodes of head, face, and neck","Follicular lymphoma grade I, lymph nodes of head, face, and neck",45532944,"Follicular lymphoma grade I, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.02","C8202","Follicular lymphoma grade I, intrathoracic lymph nodes","Follicular lymphoma grade I, intrathoracic lymph nodes",45537850,"Follicular lymphoma grade I, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.03","C8203","Follicular lymphoma grade I, intra-abdominal lymph nodes","Follicular lymphoma grade I, intra-abdominal lymph nodes",45542637,"Follicular lymphoma grade I, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.04","C8204","Follicular lymphoma grade I, nodes of axilla and upper limb","Follicular lymphoma grade I, lymph nodes of axilla and upper limb",45566629,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.05","C8205","Foliclar lymph grade I, nodes of ing region and lower limb","Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",45557024,"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.06","C8206","Follicular lymphoma grade I, intrapelvic lymph nodes","Follicular lymphoma grade I, intrapelvic lymph nodes",45590933,"Follicular lymphoma grade I, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.07","C8207","Follicular lymphoma grade I, spleen","Follicular lymphoma grade I, spleen",45590934,"Follicular lymphoma grade I, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.08","C8208","Follicular lymphoma grade I, lymph nodes of multiple sites","Follicular lymphoma grade I, lymph nodes of multiple sites",45532945,"Follicular lymphoma grade I, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.09","C8209","Follicular lymphoma grade I, extrnod and solid organ sites","Follicular lymphoma grade I, extranodal and solid organ sites",45571550,"Follicular lymphoma grade I, extranodal and solid organ sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.0A",NA,NA,NA,1102861,"Follicular lymphoma grade I, in remission","Condition","ICD10CM","5-char billing code","2024-10-01","2099-12-31"
"C82.1",NA,NA,NA,1567643,"Follicular lymphoma grade II","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C82.10","C8210","Follicular lymphoma grade II, unspecified site","Follicular lymphoma grade II, unspecified site",45552297,"Follicular lymphoma grade II, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.11","C8211","Follicular lymphoma grade II, nodes of head, face, and neck","Follicular lymphoma grade II, lymph nodes of head, face, and neck",45537851,"Follicular lymphoma grade II, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.12","C8212","Follicular lymphoma grade II, intrathoracic lymph nodes","Follicular lymphoma grade II, intrathoracic lymph nodes",45557025,"Follicular lymphoma grade II, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.13","C8213","Follicular lymphoma grade II, intra-abdominal lymph nodes","Follicular lymphoma grade II, intra-abdominal lymph nodes",45600541,"Follicular lymphoma grade II, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.14","C8214","Follicular lymphoma grade II, nodes of axilla and upper limb","Follicular lymphoma grade II, lymph nodes of axilla and upper limb",45571551,"Follicular lymphoma grade II, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.15","C8215","Foliclar lymph grade II, nodes of ing region and lower limb","Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb",45561843,"Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.16","C8216","Follicular lymphoma grade II, intrapelvic lymph nodes","Follicular lymphoma grade II, intrapelvic lymph nodes",45576349,"Follicular lymphoma grade II, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.17","C8217","Follicular lymphoma grade II, spleen","Follicular lymphoma grade II, spleen",45595699,"Follicular lymphoma grade II, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C82.18","C8218","Follicular lymphoma grade II, lymph nodes of multiple sites","Follicular lymphoma grade II, lymph nodes of multiple sites",45537852,"Follicular lymphoma grade II, lymph nodes of multiple sites","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
