DIAGNOSIS_CODE_ATHENA,DIAGNOSIS_CODE_MEDICARE,SHORT_NAME_MEDICARE,CONCEPT_NAME_MEDICARE,CONCEPT_ID,CONCEPT_NAME_ATHENA,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
D55.8,D558,Other anemias due to enzyme disorders,Other anemias due to enzyme disorders,35206715,Other anemias due to enzyme disorders,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D55.9,D559,"Anemia due to enzyme disorder, unspecified","Anemia due to enzyme disorder, unspecified",35206716,"Anemia due to enzyme disorder, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56,NA,NA,NA,1567843,Thalassemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D56.0,D560,Alpha thalassemia,Alpha thalassemia,35206717,Alpha thalassemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.1,D561,Beta thalassemia,Beta thalassemia,35206718,Beta thalassemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.2,D562,Delta-beta thalassemia,Delta-beta thalassemia,35206719,Delta-beta thalassemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.3,D563,Thalassemia minor,Thalassemia minor,35206720,Thalassemia minor,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.4,D564,Hereditary persistence of fetal hemoglobin [HPFH],Hereditary persistence of fetal hemoglobin [HPFH],35206721,Hereditary persistence of fetal hemoglobin [HPFH],Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.5,D565,Hemoglobin E-beta thalassemia,Hemoglobin E-beta thalassemia,45532989,Hemoglobin E-beta thalassemia,Condition,ICD10CM,4-char billing code,12/30/2006,12/31/2099,FALSE
D56.8,D568,Other thalassemias,Other thalassemias,35206722,Other thalassemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D56.9,D569,"Thalassemia, unspecified","Thalassemia, unspecified",35206723,"Thalassemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D57,NA,NA,NA,1567844,Sickle-cell disorders,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.0,NA,NA,NA,1567845,Hb-SS disease with crisis,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.00,D5700,"Hb-SS disease with crisis, unspecified","Hb-SS disease with crisis, unspecified",45595765,"Hb-SS disease with crisis, unspecified",Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.01,D5701,Hb-SS disease with acute chest syndrome,Hb-SS disease with acute chest syndrome,45542708,Hb-SS disease with acute chest syndrome,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.02,D5702,Hb-SS disease with splenic sequestration,Hb-SS disease with splenic sequestration,45561923,Hb-SS disease with splenic sequestration,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.03,D5703,Hb-SS disease with cerebral vascular involvement,Hb-SS disease with cerebral vascular involvement,725216,Hb-SS disease with cerebral vascular involvement,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D57.04,D5704,Hb-SS disease with dactylitis,Hb-SS disease with dactylitis,785896,Hb-SS disease with dactylitis,Condition,ICD10CM,5-char billing code,10/1/2023,12/31/2099,FALSE
D57.09,D5709,Hb-SS disease with crisis with other specified complication,Hb-SS disease with crisis with other specified complication,725217,Hb-SS disease with crisis with other specified complication,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D57.1,D571,Sickle-cell disease without crisis,Sickle-cell disease without crisis,35206724,Sickle-cell disease without crisis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D57.2,NA,NA,NA,1567846,Sickle-cell/Hb-C disease,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.20,D5720,Sickle-cell/Hb-C disease without crisis,Sickle-cell/Hb-C disease without crisis,45542710,Sickle-cell/Hb-C disease without crisis,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.21,NA,NA,NA,45542711,Sickle-cell/Hb-C disease with crisis,Condition,ICD10CM,5-char nonbill code,12/30/2006,12/31/2099,FALSE
D57.211,D57211,Sickle-cell/Hb-C disease with acute chest syndrome,Sickle-cell/Hb-C disease with acute chest syndrome,45576406,Sickle-cell/Hb-C disease with acute chest syndrome,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.212,D57212,Sickle-cell/Hb-C disease with splenic sequestration,Sickle-cell/Hb-C disease with splenic sequestration,45571635,Sickle-cell/Hb-C disease with splenic sequestration,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.213,D57213,Sickle-cell/Hb-C disease with cerebral vascular involvement,Sickle-cell/Hb-C disease with cerebral vascular involvement,725218,Sickle-cell/Hb-C disease with cerebral vascular involvement,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.214,D57214,Sickle-cell/Hb-C disease with dactylitis,Sickle-cell/Hb-C disease with dactylitis,785897,Sickle-cell/Hb-C disease with dactylitis,Condition,ICD10CM,6-char billing code,10/1/2023,12/31/2099,FALSE
D57.218,D57218,Sickle-cell/Hb-C disease with crisis with oth complication,Sickle-cell/Hb-C disease with crisis with other specified complication,725219,Sickle-cell/Hb-C disease with crisis with other specified complication,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.219,D57219,"Sickle-cell/Hb-C disease with crisis, unspecified","Sickle-cell/Hb-C disease with crisis, unspecified",45561924,"Sickle-cell/Hb-C disease with crisis, unspecified",Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.3,D573,Sickle-cell trait,Sickle-cell trait,35206725,Sickle-cell trait,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D57.4,NA,NA,NA,1567847,Sickle-cell thalassemia,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.40,D5740,Sickle-cell thalassemia without crisis,Sickle-cell thalassemia without crisis,45561925,Sickle-cell thalassemia without crisis,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.41,D5741,"Sickle-cell thalassemia, unspecified, with crisis","Sickle-cell thalassemia, unspecified, with crisis",1567848,"Sickle-cell thalassemia, unspecified, with crisis",Condition,ICD10CM,5-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.411,D57411,"Sickle-cell thalassemia, unsp, with acute chest syndrome","Sickle-cell thalassemia, unspecified, with acute chest syndrome",45586115,"Sickle-cell thalassemia, unspecified, with acute chest syndrome",Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.412,D57412,"Sickle-cell thalassemia, unsp, with splenic sequestration","Sickle-cell thalassemia, unspecified, with splenic sequestration",45561926,"Sickle-cell thalassemia, unspecified, with splenic sequestration",Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.413,D57413,"Sickle-cell thalassemia, unsp, with cerebral vascular invl","Sickle-cell thalassemia, unspecified, with cerebral vascular involvement",725220,"Sickle-cell thalassemia, unspecified, with cerebral vascular involvement",Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.414,D57414,"Sickle-cell thalassemia, unspecified, with dactylitis","Sickle-cell thalassemia, unspecified, with dactylitis",785898,"Sickle-cell thalassemia, unspecified, with dactylitis",Condition,ICD10CM,6-char billing code,10/1/2023,12/31/2099,FALSE
D57.418,D57418,"Sickle-cell thalassemia, unsp, with crisis with oth comp","Sickle-cell thalassemia, unspecified, with crisis with other specified complication",725221,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication",Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.419,D57419,"Sickle-cell thalassemia, unspecified, with crisis","Sickle-cell thalassemia, unspecified, with crisis",45566702,"Sickle-cell thalassemia, unspecified, with crisis",Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.42,D5742,Sickle-cell thalassemia beta zero without crisis,Sickle-cell thalassemia beta zero without crisis,725222,Sickle-cell thalassemia beta zero without crisis,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D57.43,NA,NA,NA,725223,Sickle-cell thalassemia beta zero with crisis,Condition,ICD10CM,5-char nonbill code,1/1/2021,12/31/2099,FALSE
D57.431,D57431,Sickle-cell thalassemia beta zero with acute chest syndrome,Sickle-cell thalassemia beta zero with acute chest syndrome,725224,Sickle-cell thalassemia beta zero with acute chest syndrome,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.432,D57432,Sickle-cell thalassemia beta zero with splenic sequestration,Sickle-cell thalassemia beta zero with splenic sequestration,725225,Sickle-cell thalassemia beta zero with splenic sequestration,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.433,D57433,Sickle-cell thalassemia beta zero with cereb vascular invl,Sickle-cell thalassemia beta zero with cerebral vascular involvement,725226,Sickle-cell thalassemia beta zero with cerebral vascular involvement,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.434,D57434,Sickle-cell thalassemia beta zero with dactylitis,Sickle-cell thalassemia beta zero with dactylitis,785899,Sickle-cell thalassemia beta zero with dactylitis,Condition,ICD10CM,6-char billing code,10/1/2023,12/31/2099,FALSE
D57.438,D57438,Sickle-cell thalassemia beta zero with crisis with oth comp,Sickle-cell thalassemia beta zero with crisis with other specified complication,725227,Sickle-cell thalassemia beta zero with crisis with other specified complication,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.439,D57439,"Sickle-cell thalassemia beta zero with crisis, unspecified","Sickle-cell thalassemia beta zero with crisis, unspecified",725228,"Sickle-cell thalassemia beta zero with crisis, unspecified",Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.44,D5744,Sickle-cell thalassemia beta plus without crisis,Sickle-cell thalassemia beta plus without crisis,725229,Sickle-cell thalassemia beta plus without crisis,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D57.45,NA,NA,NA,725230,Sickle-cell thalassemia beta plus with crisis,Condition,ICD10CM,5-char nonbill code,1/1/2021,12/31/2099,FALSE
D57.451,D57451,Sickle-cell thalassemia beta plus with acute chest syndrome,Sickle-cell thalassemia beta plus with acute chest syndrome,725231,Sickle-cell thalassemia beta plus with acute chest syndrome,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.452,D57452,Sickle-cell thalassemia beta plus with splenic sequestration,Sickle-cell thalassemia beta plus with splenic sequestration,725232,Sickle-cell thalassemia beta plus with splenic sequestration,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.453,D57453,Sickle-cell thalassemia beta plus with cereb vascular invl,Sickle-cell thalassemia beta plus with cerebral vascular involvement,725233,Sickle-cell thalassemia beta plus with cerebral vascular involvement,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.454,D57454,Sickle-cell thalassemia beta plus with dactylitis,Sickle-cell thalassemia beta plus with dactylitis,785900,Sickle-cell thalassemia beta plus with dactylitis,Condition,ICD10CM,6-char billing code,10/1/2023,12/31/2099,FALSE
D57.458,D57458,Sickle-cell thalassemia beta plus with crisis with oth comp,Sickle-cell thalassemia beta plus with crisis with other specified complication,725234,Sickle-cell thalassemia beta plus with crisis with other specified complication,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.459,D57459,"Sickle-cell thalassemia beta plus with crisis, unspecified","Sickle-cell thalassemia beta plus with crisis, unspecified",725235,"Sickle-cell thalassemia beta plus with crisis, unspecified",Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.8,NA,NA,NA,1567849,Other sickle-cell disorders,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.80,D5780,Other sickle-cell disorders without crisis,Other sickle-cell disorders without crisis,45552357,Other sickle-cell disorders without crisis,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D57.81,NA,NA,NA,1567850,Other sickle-cell disorders with crisis,Condition,ICD10CM,5-char nonbill code,1/1/2012,12/31/2099,FALSE
D57.811,D57811,Other sickle-cell disorders with acute chest syndrome,Other sickle-cell disorders with acute chest syndrome,45595766,Other sickle-cell disorders with acute chest syndrome,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.812,D57812,Other sickle-cell disorders with splenic sequestration,Other sickle-cell disorders with splenic sequestration,45600606,Other sickle-cell disorders with splenic sequestration,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D57.813,D57813,Other sickle-cell disorders with cerebral vascular invl ,Other sickle-cell disorders with cerebral vascular involvement,725236,Other sickle-cell disorders with cerebral vascular involvement,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.814,D57814,Other sickle-cell disorders with dactylitis,Other sickle-cell disorders with dactylitis,785901,Other sickle-cell disorders with dactylitis,Condition,ICD10CM,6-char billing code,10/1/2023,12/31/2099,FALSE
D57.818,D57818,Other sickle-cell disorders with crisis with oth comp ,Other sickle-cell disorders with crisis with other specified complication,725237,Other sickle-cell disorders with crisis with other specified complication,Condition,ICD10CM,6-char billing code,1/1/2021,12/31/2099,FALSE
D57.819,D57819,"Other sickle-cell disorders with crisis, unspecified","Other sickle-cell disorders with crisis, unspecified",45581324,"Other sickle-cell disorders with crisis, unspecified",Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
D58,NA,NA,NA,1567851,Other hereditary hemolytic anemias,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D58.0,D580,Hereditary spherocytosis,Hereditary spherocytosis,35206726,Hereditary spherocytosis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D58.1,D581,Hereditary elliptocytosis,Hereditary elliptocytosis,35206727,Hereditary elliptocytosis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D58.2,D582,Other hemoglobinopathies,Other hemoglobinopathies,35206728,Other hemoglobinopathies,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D58.8,D588,Other specified hereditary hemolytic anemias,Other specified hereditary hemolytic anemias,35206729,Other specified hereditary hemolytic anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D58.9,D589,"Hereditary hemolytic anemia, unspecified","Hereditary hemolytic anemia, unspecified",35206730,"Hereditary hemolytic anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59,NA,NA,NA,1567852,Acquired hemolytic anemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D59.0,D590,Drug-induced autoimmune hemolytic anemia,Drug-induced autoimmune hemolytic anemia,35206731,Drug-induced autoimmune hemolytic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.1,D591,Other autoimmune hemolytic anemias,Other autoimmune hemolytic anemias,35206732,Other autoimmune hemolytic anemias,Condition,ICD10CM,4-char nonbill code,1/1/2007,12/31/2099,FALSE
D59.10,D5910,"Autoimmune hemolytic anemia, unspecified","Autoimmune hemolytic anemia, unspecified",725238,"Autoimmune hemolytic anemia, unspecified",Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D59.11,D5911,Warm autoimmune hemolytic anemia,Warm autoimmune hemolytic anemia,725239,Warm autoimmune hemolytic anemia,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D59.12,D5912,Cold autoimmune hemolytic anemia,Cold autoimmune hemolytic anemia,725240,Cold autoimmune hemolytic anemia,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D59.13,D5913,Mixed type autoimmune hemolytic anemia ,Mixed type autoimmune hemolytic anemia ,725241,Mixed type autoimmune hemolytic anemia,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D59.19,D5919,Other autoimmune hemolytic anemia ,Other autoimmune hemolytic anemia ,725242,Other autoimmune hemolytic anemia,Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,FALSE
D59.2,D592,Drug-induced nonautoimmune hemolytic anemia,Drug-induced nonautoimmune hemolytic anemia,35206733,Drug-induced nonautoimmune hemolytic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.3,D593,Hemolytic-uremic syndrome,Hemolytic-uremic syndrome,35206734,Hemolytic-uremic syndrome,Condition,ICD10CM,4-char nonbill code,1/1/2007,12/31/2099,FALSE
D59.30,D5930,"Hemolytic-uremic syndrome, unspecified","Hemolytic-uremic syndrome, unspecified",37402338,"Hemolytic-uremic syndrome, unspecified",Condition,ICD10CM,5-char billing code,10/1/2022,12/31/2099,FALSE
D59.31,D5931,Infection-associated hemolytic-uremic syndrome,Infection-associated hemolytic-uremic syndrome,37402339,Infection-associated hemolytic-uremic syndrome,Condition,ICD10CM,5-char billing code,10/1/2022,12/31/2099,FALSE
D59.32,D5932,Hereditary hemolytic-uremic syndrome,Hereditary hemolytic-uremic syndrome,37402340,Hereditary hemolytic-uremic syndrome,Condition,ICD10CM,5-char billing code,10/1/2022,12/31/2099,FALSE
D59.39,D5939,Other hemolytic-uremic syndrome,Other hemolytic-uremic syndrome,37402341,Other hemolytic-uremic syndrome,Condition,ICD10CM,5-char billing code,10/1/2022,12/31/2099,FALSE
D59.4,D594,Other nonautoimmune hemolytic anemias,Other nonautoimmune hemolytic anemias,35206735,Other nonautoimmune hemolytic anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.5,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],35206736,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.6,D596,Hemoglobinuria due to hemolysis from other external causes,Hemoglobinuria due to hemolysis from other external causes,35206737,Hemoglobinuria due to hemolysis from other external causes,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.8,D598,Other acquired hemolytic anemias,Other acquired hemolytic anemias,35206738,Other acquired hemolytic anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D59.9,D599,"Acquired hemolytic anemia, unspecified","Acquired hemolytic anemia, unspecified",35206739,"Acquired hemolytic anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D60,NA,NA,NA,1567853,Acquired pure red cell aplasia [erythroblastopenia],Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D60.0,D600,Chronic acquired pure red cell aplasia,Chronic acquired pure red cell aplasia,35206740,Chronic acquired pure red cell aplasia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D60.1,D601,Transient acquired pure red cell aplasia,Transient acquired pure red cell aplasia,35206741,Transient acquired pure red cell aplasia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D60.8,D608,Other acquired pure red cell aplasias,Other acquired pure red cell aplasias,35206742,Other acquired pure red cell aplasias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D60.9,D609,"Acquired pure red cell aplasia, unspecified","Acquired pure red cell aplasia, unspecified",35206743,"Acquired pure red cell aplasia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D61,NA,NA,NA,1567854,Other aplastic anemias and other bone marrow failure syndromes,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D61.0,NA,NA,NA,1567855,Constitutional aplastic anemia,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D61.01,D6101,Constitutional (pure) red blood cell aplasia,Constitutional (pure) red blood cell aplasia,45532992,Constitutional (pure) red blood cell aplasia,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D61.02,D6102,Shwachman-Diamond syndrome,Shwachman-Diamond syndrome,785902,Shwachman-Diamond syndrome,Condition,ICD10CM,5-char billing code,10/1/2023,12/31/2099,FALSE
D61.03,NA,NA,NA,1102626,Fanconi anemia,Condition,ICD10CM,5-char billing code,10/1/2024,12/31/2099,FALSE
D61.09,D6109,Other constitutional aplastic anemia,Other constitutional aplastic anemia,45557087,Other constitutional aplastic anemia,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
D61.1,D611,Drug-induced aplastic anemia,Drug-induced aplastic anemia,35206744,Drug-induced aplastic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D61.2,D612,Aplastic anemia due to other external agents,Aplastic anemia due to other external agents,35206745,Aplastic anemia due to other external agents,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D61.3,D613,Idiopathic aplastic anemia,Idiopathic aplastic anemia,35206746,Idiopathic aplastic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D61.8,NA,NA,NA,1567856,Other specified aplastic anemias and other bone marrow failure syndromes,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
D61.81,NA,NA,NA,45566706,Pancytopenia,Condition,ICD10CM,5-char nonbill code,1/1/1970,12/31/2099,FALSE
