"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"O03.30","O0330","Unsp complication following incomplete spontaneous abortion","Unspecified complication following incomplete spontaneous abortion",45596897,"Unspecified complication following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.31","O0331","Shock following incomplete spontaneous abortion","Shock following incomplete spontaneous abortion",45572746,"Shock following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.32","O0332","Renal failure following incomplete spontaneous abortion","Renal failure following incomplete spontaneous abortion",45558184,"Renal failure following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.33","O0333","Metabolic disorder following incomplete spontaneous abortion","Metabolic disorder following incomplete spontaneous abortion",45592171,"Metabolic disorder following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.34","O0334","Damage to pelvic organs following incomplete spon abortion","Damage to pelvic organs following incomplete spontaneous abortion",45596898,"Damage to pelvic organs following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.35","O0335","Oth venous comp following incomplete spontaneous abortion","Other venous complications following incomplete spontaneous abortion",45592172,"Other venous complications following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.36","O0336","Cardiac arrest following incomplete spontaneous abortion","Cardiac arrest following incomplete spontaneous abortion",45563037,"Cardiac arrest following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.37","O0337","Sepsis following incomplete spontaneous abortion","Sepsis following incomplete spontaneous abortion",45596899,"Sepsis following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.38","O0338","Urinary tract infection following incomplete spon abortion","Urinary tract infection following incomplete spontaneous abortion",45553466,"Urinary tract infection following incomplete spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.39","O0339","Incomplete spontaneous abortion with other complications","Incomplete spontaneous abortion with other complications",45563038,"Incomplete spontaneous abortion with other complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.4","O034","Incomplete spontaneous abortion without complication","Incomplete spontaneous abortion without complication",35209528,"Incomplete spontaneous abortion without complication","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.5","O035","Genitl trct and pelvic infct fol complete or unsp spon abort","Genital tract and pelvic infection following complete or unspecified spontaneous abortion",35209529,"Genital tract and pelvic infection following complete or unspecified spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.6","O036","Delayed or excess hemor fol complete or unsp spon abortion","Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion",35209530,"Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.7","O037","Embolism following complete or unsp spontaneous abortion","Embolism following complete or unspecified spontaneous abortion",35209531,"Embolism following complete or unspecified spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.8",NA,NA,NA,1571607,"Other and unspecified complications following complete or unspecified spontaneous abortion","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"O03.80","O0380","Unsp comp following complete or unsp spontaneous abortion","Unspecified complication following complete or unspecified spontaneous abortion",45548688,"Unspecified complication following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.81","O0381","Shock following complete or unspecified spontaneous abortion","Shock following complete or unspecified spontaneous abortion",45563039,"Shock following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.82","O0382","Renal failure following complete or unsp spon abortion","Renal failure following complete or unspecified spontaneous abortion",45592173,"Renal failure following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.83","O0383","Metabolic disorder following complete or unsp spon abortion","Metabolic disorder following complete or unspecified spontaneous abortion",45548689,"Metabolic disorder following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.84","O0384","Damage to pelvic organs fol complete or unsp spon abortion","Damage to pelvic organs following complete or unspecified spontaneous abortion",45572748,"Damage to pelvic organs following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.85","O0385","Oth venous comp following complete or unsp spon abortion","Other venous complications following complete or unspecified spontaneous abortion",45567880,"Other venous complications following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.86","O0386","Cardiac arrest following complete or unsp spon abortion","Cardiac arrest following complete or unspecified spontaneous abortion",45587266,"Cardiac arrest following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.87","O0387","Sepsis following complete or unsp spontaneous abortion","Sepsis following complete or unspecified spontaneous abortion",45601765,"Sepsis following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.88","O0388","Urinary tract infection fol complete or unsp spon abortion","Urinary tract infection following complete or unspecified spontaneous abortion",45558186,"Urinary tract infection following complete or unspecified spontaneous abortion","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.89","O0389","Complete or unsp spontaneous abortion with oth complications","Complete or unspecified spontaneous abortion with other complications",45572749,"Complete or unspecified spontaneous abortion with other complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O03.9","O039","Complete or unsp spontaneous abortion without complication","Complete or unspecified spontaneous abortion without complication",35209532,"Complete or unspecified spontaneous abortion without complication","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O04",NA,NA,NA,1571608,"Complications following (induced) termination of pregnancy","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O04.5","O045","Genitl trct and pelvic infct fol (induced) term of pregnancy","Genital tract and pelvic infection following (induced) termination of pregnancy",35209533,"Genital tract and pelvic infection following (induced) termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O04.6","O046","Delayed or excess hemor fol (induced) term of pregnancy","Delayed or excessive hemorrhage following (induced) termination of pregnancy",35209534,"Delayed or excessive hemorrhage following (induced) termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O04.7","O047","Embolism following (induced) termination of pregnancy","Embolism following (induced) termination of pregnancy",35209535,"Embolism following (induced) termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O04.8",NA,NA,NA,1571609,"(Induced) termination of pregnancy with other and unspecified complications","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"O04.80","O0480","(Induced) termination of pregnancy with unsp complications","(Induced) termination of pregnancy with unspecified complications",45539079,"(Induced) termination of pregnancy with unspecified complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.81","O0481","Shock following (induced) termination of pregnancy","Shock following (induced) termination of pregnancy",45572750,"Shock following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.82","O0482","Renal failure following (induced) termination of pregnancy","Renal failure following (induced) termination of pregnancy",45558188,"Renal failure following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.83","O0483","Metabolic disorder following (induced) term of pregnancy","Metabolic disorder following (induced) termination of pregnancy",45543908,"Metabolic disorder following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.84","O0484","Damage to pelvic organs fol (induced) term of pregnancy","Damage to pelvic organs following (induced) termination of pregnancy",45548690,"Damage to pelvic organs following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.85","O0485","Oth venous comp following (induced) termination of pregnancy","Other venous complications following (induced) termination of pregnancy",45534157,"Other venous complications following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.86","O0486","Cardiac arrest following (induced) termination of pregnancy","Cardiac arrest following (induced) termination of pregnancy",45606530,"Cardiac arrest following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.87","O0487","Sepsis following (induced) termination of pregnancy","Sepsis following (induced) termination of pregnancy",45548691,"Sepsis following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.88","O0488","Urinary tract infection fol (induced) term of pregnancy","Urinary tract infection following (induced) termination of pregnancy",45582438,"Urinary tract infection following (induced) termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O04.89","O0489","(Induced) termination of pregnancy with other complications","(Induced) termination of pregnancy with other complications",45587269,"(Induced) termination of pregnancy with other complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07",NA,NA,NA,1571610,"Failed attempted termination of pregnancy","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O07.0","O070","Genitl trct and pelvic infct fol failed attempt term of preg","Genital tract and pelvic infection following failed attempted termination of pregnancy",35209536,"Genital tract and pelvic infection following failed attempted termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O07.1","O071","Delayed or excess hemor fol failed attempt term of pregnancy","Delayed or excessive hemorrhage following failed attempted termination of pregnancy",35209537,"Delayed or excessive hemorrhage following failed attempted termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O07.2","O072","Embolism following failed attempted termination of pregnancy","Embolism following failed attempted termination of pregnancy",35209538,"Embolism following failed attempted termination of pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O07.3",NA,NA,NA,1571611,"Failed attempted termination of pregnancy with other and unspecified complications","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"O07.30","O0730","Failed attempted termination of pregnancy w unsp comp","Failed attempted termination of pregnancy with unspecified complications",45553470,"Failed attempted termination of pregnancy with unspecified complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.31","O0731","Shock following failed attempted termination of pregnancy","Shock following failed attempted termination of pregnancy",45577550,"Shock following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.32","O0732","Renal failure following failed attempted term of pregnancy","Renal failure following failed attempted termination of pregnancy",45558190,"Renal failure following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.33","O0733","Metabolic disorder fol failed attempt term of pregnancy","Metabolic disorder following failed attempted termination of pregnancy",45606532,"Metabolic disorder following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.34","O0734","Damage to pelvic organs fol failed attempt term of pregnancy","Damage to pelvic organs following failed attempted termination of pregnancy",45577551,"Damage to pelvic organs following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.35","O0735","Oth venous comp following failed attempted term of pregnancy","Other venous complications following failed attempted termination of pregnancy",45596907,"Other venous complications following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.36","O0736","Cardiac arrest following failed attempted term of pregnancy","Cardiac arrest following failed attempted termination of pregnancy",45534161,"Cardiac arrest following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.37","O0737","Sepsis following failed attempted termination of pregnancy","Sepsis following failed attempted termination of pregnancy",45534162,"Sepsis following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.38","O0738","Urinary tract infection fol failed attempt term of pregnancy","Urinary tract infection following failed attempted termination of pregnancy",45601770,"Urinary tract infection following failed attempted termination of pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.39","O0739","Failed attempted termination of pregnancy w oth comp","Failed attempted termination of pregnancy with other complications",45572753,"Failed attempted termination of pregnancy with other complications","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O07.4","O074","Failed attempted termination of pregnancy w/o complication","Failed attempted termination of pregnancy without complication",35209539,"Failed attempted termination of pregnancy without complication","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08",NA,NA,NA,1571612,"Complications following ectopic and molar pregnancy","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O08.0","O080","Genitl trct and pelvic infct fol ectopic and molar pregnancy","Genital tract and pelvic infection following ectopic and molar pregnancy",35209540,"Genital tract and pelvic infection following ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.1","O081","Delayed or excess hemor fol ectopic and molar pregnancy","Delayed or excessive hemorrhage following ectopic and molar pregnancy",35209541,"Delayed or excessive hemorrhage following ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.2","O082","Embolism following ectopic and molar pregnancy","Embolism following ectopic and molar pregnancy",35209542,"Embolism following ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.3","O083","Shock following ectopic and molar pregnancy","Shock following ectopic and molar pregnancy",35209543,"Shock following ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.4","O084","Renal failure following ectopic and molar pregnancy","Renal failure following ectopic and molar pregnancy",35209544,"Renal failure following ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.5","O085","Metabolic disorders following an ectopic and molar pregnancy","Metabolic disorders following an ectopic and molar pregnancy",35209545,"Metabolic disorders following an ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.6","O086","Damage to pelvic organs and tiss fol an ect and molar preg","Damage to pelvic organs and tissues following an ectopic and molar pregnancy",35209546,"Damage to pelvic organs and tissues following an ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.7","O087","Oth venous comp following an ectopic and molar pregnancy","Other venous complications following an ectopic and molar pregnancy",35209547,"Other venous complications following an ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O08.8",NA,NA,NA,1571613,"Other complications following an ectopic and molar pregnancy","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"O08.81","O0881","Cardiac arrest following an ectopic and molar pregnancy","Cardiac arrest following an ectopic and molar pregnancy",45563042,"Cardiac arrest following an ectopic and molar pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O08.82","O0882","Sepsis following ectopic and molar pregnancy","Sepsis following ectopic and molar pregnancy",45601772,"Sepsis following ectopic and molar pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O08.83","O0883","Urinary tract infection fol an ectopic and molar pregnancy","Urinary tract infection following an ectopic and molar pregnancy",45534163,"Urinary tract infection following an ectopic and molar pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O08.89","O0889","Other complications following an ectopic and molar pregnancy","Other complications following an ectopic and molar pregnancy",45596911,"Other complications following an ectopic and molar pregnancy","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"O08.9","O089","Unsp complication following an ectopic and molar pregnancy","Unspecified complication following an ectopic and molar pregnancy",35209548,"Unspecified complication following an ectopic and molar pregnancy","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O80",NA,NA,NA,35210362,"Encounter for full-term uncomplicated delivery","Condition","ICD10CM","3-char billing code","2007-01-01","2099-12-31"
"O82",NA,NA,NA,35210363,"Encounter for cesarean delivery without indication","Observation","ICD10CM","3-char billing code","2007-01-01","2099-12-31"
"Z33",NA,NA,NA,1576058,"Pregnant state","Observation","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"Z33.1",NA,NA,NA,45600319,"Pregnant state, incidental","Observation","ICD10CM","4-char billing code","1970-01-01","2099-12-31"
"Z33.2",NA,NA,NA,45547303,"Encounter for elective termination of pregnancy","Condition","ICD10CM","4-char billing code","1970-01-01","2099-12-31"
"Z33.3",NA,NA,NA,37202293,"Pregnant state, gestational carrier","Condition","ICD10CM","4-char billing code","2017-01-01","2099-12-31"
"Z34",NA,NA,NA,1576059,"Encounter for supervision of normal pregnancy","Observation","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"Z34.0",NA,NA,NA,1576060,"Encounter for supervision of normal first pregnancy","Observation","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"Z34.00",NA,NA,NA,45571343,"Encounter for supervision of normal first pregnancy, unspecified trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.01",NA,NA,NA,45609924,"Encounter for supervision of normal first pregnancy, first trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.02",NA,NA,NA,45609925,"Encounter for supervision of normal first pregnancy, second trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.03",NA,NA,NA,45600320,"Encounter for supervision of normal first pregnancy, third trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.8",NA,NA,NA,1576061,"Encounter for supervision of other normal pregnancy","Observation","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"Z34.80",NA,NA,NA,45605119,"Encounter for supervision of other normal pregnancy, unspecified trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.81",NA,NA,NA,45600321,"Encounter for supervision of other normal pregnancy, first trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.82",NA,NA,NA,45581022,"Encounter for supervision of other normal pregnancy, second trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.83",NA,NA,NA,45542420,"Encounter for supervision of other normal pregnancy, third trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"Z34.9",NA,NA,NA,1576062,"Encounter for supervision of normal pregnancy, unspecified","Observation","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"Z34.90",NA,NA,NA,45605120,"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester","Observation","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
