ATC_5th	ATC_name	brand_name	CONCEPT_ID	CONCEPT_CODE	CONCEPT_NAME	DOMAIN_ID	CONCEPT_CLASS_ID	STANDARD_CONCEPT	VOCABULARY_ID	VOCABULARY_NAME
A10BB03	tolbutamide; oral	orinase	19037213	208012	tolbutamide 500 MG Oral Tablet [Orinase]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
A10BB03	tolbutamide; oral	butamide	35140979	OMOP4798113	Tolbutamide 250 MG Oral Tablet [Butamide]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	hoechst rastinon	35144807	OMOP4801899	Tolbutamide 500 MG [Hoechst Rastinon]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orinase	40089116	369297	tolbutamide Oral Tablet [Orinase]	Drug	Branded Drug Form	S	RxNorm	RxNorm (NLM)
A10BB03	tolbutamide; oral	rastinon	40827755	OMOP2025717	Tolbutamide 1000 MG [Rastinon]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40870793	OMOP2068755	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 40	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40870797	OMOP2068759	Tolbutamide 500 MG Oral Tablet [Rastinon]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40932959	OMOP2130921	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 200	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	guabeta	40995509	OMOP2193471	Tolbutamide 500 MG Oral Tablet [Guabeta] Box of 200	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	41014845	OMOP2212807	Tolbutamide 500 MG [Orabet]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41026550	OMOP2224512	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 120	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41057714	OMOP2255676	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 1000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41057719	OMOP2255681	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 120	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41057720	OMOP2255682	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 2500	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41120499	OMOP2318461	Tolbutamide 1000 MG Oral Tablet [Rastinon]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41183144	OMOP2381106	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 600	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41202779	OMOP2400741	Tolbutamide 500 MG [Rastinon]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41214455	OMOP2412417	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tolbutamid ratiopharm	41276355	OMOP2474317	Tolbutamide 500 MG Oral Tablet [Tolbutamid Ratiopharm]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	novo-butamide	44059688	OMOP1054319	Tolbutamide 500 MG Oral Tablet [Novo-Butamide]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	novo-butamide	44121155	OMOP1115786	Tolbutamide Oral Tablet [Novo-Butamide]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	butamide	35132931	OMOP4790150	Tolbutamide 500 MG Oral Tablet [Butamide]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	butamide	35140878	OMOP4798013	Tolbutamide Oral Tablet [Butamide]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	butamide	35146593	OMOP4803670	Tolbutamide 250 MG [Butamide]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	hoechst rastinon	35149803	OMOP4806860	Tolbutamide Oral Tablet [Hoechst Rastinon]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	hoechst rastinon	35155641	OMOP4812656	Tolbutamide 1000 MG [Hoechst Rastinon]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40859022	OMOP2056984	Tolbutamide 500 MG [Artosin]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40870796	OMOP2068758	Tolbutamide 1000 MG Oral Tablet [Artosin]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40901842	OMOP2099804	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 2500	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tolbutamid ratiopharm	40932957	OMOP2130919	Tolbutamide 500 MG Oral Tablet [Tolbutamid Ratiopharm] Box of 50	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40932961	OMOP2130923	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 300	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40964207	OMOP2162169	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 1200	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41026548	OMOP2224510	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 250	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41026549	OMOP2224511	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 120	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	41026551	OMOP2224513	Tolbutamide 500 MG Oral Tablet [Orabet] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tolbutamid ratiopharm	41057713	OMOP2255675	Tolbutamide 500 MG Oral Tablet [Tolbutamid Ratiopharm] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41089266	OMOP2287228	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 5000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	41089268	OMOP2287230	Tolbutamide 500 MG Oral Tablet [Orabet]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	guabeta	41120496	OMOP2318458	Tolbutamide 500 MG Oral Tablet [Guabeta] Box of 40	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41120497	OMOP2318459	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 40	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41120500	OMOP2318462	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 5000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	guabeta	41152085	OMOP2350047	Tolbutamide 500 MG Oral Tablet [Guabeta]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	41214454	OMOP2412416	Tolbutamide 500 MG Oral Tablet [Orabet] Box of 20	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tolbutamid ratiopharm	41299132	OMOP2497094	Tolbutamide Oral Tablet [Tolbutamid Ratiopharm]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	novo-butamide	44053750	OMOP1048381	Tolbutamide 500 MG [Novo-Butamide]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tol-tab	1502916	351452	tolbutamide 500 MG Oral Tablet [Tol-Tab]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
A10BB03	tolbutamide; oral	hoechst rastinon	35134560	OMOP4791760	Tolbutamide 1000 MG Oral Powder [Hoechst Rastinon]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	hoechst rastinon	35137885	OMOP4795056	Tolbutamide Oral Powder [Hoechst Rastinon]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	butamide	35151035	OMOP4808082	Tolbutamide 500 MG [Butamide]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tol-tab	40089117	368586	tolbutamide Oral Tablet [Tol-Tab]	Drug	Branded Drug Form	S	RxNorm	RxNorm (NLM)
A10BB03	tolbutamide; oral	rastinon	40839645	OMOP2037607	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 3000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40839646	OMOP2037608	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 240	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40870792	OMOP2068754	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 200	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40870795	OMOP2068757	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 500	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40890335	OMOP2088297	Tolbutamide 1000 MG [Artosin]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40901843	OMOP2099805	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 300	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40932962	OMOP2130924	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41057715	OMOP2255677	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 300	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41057716	OMOP2255678	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 120	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	guabeta	41108841	OMOP2306803	Tolbutamide 500 MG [Guabeta]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41152086	OMOP2350048	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 1500	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41214457	OMOP2412419	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tolbutamid ratiopharm	41264597	OMOP2462559	Tolbutamide 500 MG [Tolbutamid Ratiopharm]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41276357	OMOP2474319	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 5000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41307449	OMOP2505411	Tolbutamide 500 MG Oral Tablet [Artosin] Box of 1000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41307450	OMOP2505412	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 6000	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orinase	44105374	OMOP1100005	Tolbutamide 1000 MG [Orinase]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	precose	19040969	209247	acarbose 50 MG Oral Tablet [Precose]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
A10BF01	acarbose; oral	precose	19040970	209248	acarbose 100 MG Oral Tablet [Precose]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
A10BF01	acarbose; oral	glucobay	21023842	OMOP377778	Acarbose 50 MG Oral Tablet [Glucobay] Box of 100	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	21121903	OMOP377713	Acarbose 100 MG Oral Tablet [Glucobay]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	21121906	OMOP377722	Acarbose 100 MG Oral Tablet [Glucobay] Box of 90	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	21131668	OMOP377729	Acarbose 100 MG Oral Tablet [Glucobay] Box of 100	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	21151450	OMOP377773	Acarbose 50 MG Oral Tablet [Glucobay] Box of 90	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	35147572	OMOP4804647	Acarbose 100 MG Disintegrating Oral Tablet [Glucobay]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	kaboping	35865756	OMOP5021304	acarbose 100 MG Oral Tablet [Kaboping]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	baitangping	35865757	OMOP5021305	acarbose 100 MG Oral Tablet [Baitangping]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	kaboping	35865758	OMOP5021306	acarbose 100 MG [Kaboping]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	baitangping	35865765	OMOP5021313	acarbose 50 MG [Baitangping]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	precose	40003413	368300	acarbose Oral Tablet [Precose]	Drug	Branded Drug Form	S	RxNorm	RxNorm (NLM)
A10BF01	acarbose; oral	acarbose abz	40820998	OMOP2018960	Acarbose 100 MG Oral Tablet [Acarbose Abz] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose hexal	40944465	OMOP2142427	Acarbose 100 MG Oral Tablet [Acarbose Hexal] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose hexal	41069109	OMOP2267071	Acarbose 50 MG Oral Tablet [Acarbose Hexal] Box of 200	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose stada	41069112	OMOP2267074	Acarbose 100 MG Oral Tablet [Acarbose Stada] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose ct	41069113	OMOP2267075	Acarbose 100 MG Oral Tablet [Acarbose Ct]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose ct	41131900	OMOP2329862	Acarbose 50 MG Oral Tablet [Acarbose Ct] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose hexal	41194543	OMOP2392505	Acarbose 50 MG Oral Tablet [Acarbose Hexal] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose hexal	41225602	OMOP2423564	Acarbose 50 MG Oral Tablet [Acarbose Hexal] Box of 180	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose 1a pharma	41236245	OMOP2434207	Acarbose 100 MG [Acarbose 1a Pharma]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose al	41256509	OMOP2454471	Acarbose 50 MG Oral Tablet [Acarbose Al] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose al	41287558	OMOP2485520	Acarbose 100 MG Oral Tablet [Acarbose Al] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose biogaran	43134697	OMOP446149	Acarbose 50 MG Oral Tablet [ACARBOSE BIOGARAN]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucor	43134700	OMOP446176	Acarbose 100 MG [GLUCOR]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose zentiva	43156823	OMOP446132	Acarbose Oral Tablet [ACARBOSE ZENTIVA]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose sandoz	43156824	OMOP446139	Acarbose 50 MG [ACARBOSE SANDOZ]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose mylan	43156828	OMOP446191	Acarbose 100 MG Oral Tablet [ACARBOSE MYLAN] Box of 90	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose arrow	43167765	OMOP446147	Acarbose 50 MG Oral Tablet [ACARBOSE ARROW] Box of 270	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose mylan	43178829	OMOP446190	Acarbose 100 MG Oral Tablet [ACARBOSE MYLAN]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucor	43189729	OMOP446202	Acarbose 100 MG Oral Tablet [GLUCOR] Box of 270	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose eg	43200750	OMOP446188	Acarbose 100 MG Oral Tablet [ACARBOSE EG] Box of 90	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose zentiva	43211560	OMOP446175	Acarbose 100 MG [ACARBOSE ZENTIVA]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glybosay	43270888	OMOP528609	Acarbose 100 MG [Glybosay]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acobay	43276393	OMOP528635	Acarbose 100 MG Oral Tablet [Acobay]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acobay	43287224	OMOP528517	Acarbose 50 MG [Acobay]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose genevida	43640772	OMOP667027	Acarbose 100 MG [Acarbose Genevida]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose stada	43658904	OMOP667029	Acarbose 100 MG [Acarbose Stada]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose dura	43784609	OMOP667085	Acarbose 50 MG Oral Tablet [Acarbose Dura]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose genevida	43820641	OMOP667058	Acarbose 50 MG [Acarbose Genevida]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	precose	19021786	569871	acarbose 50 MG [Precose]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
A10BF01	acarbose; oral	glucobay	21023840	OMOP377684	Acarbose 100 MG [Glucobay]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	21092504	OMOP377720	Acarbose 100 MG Oral Tablet [Glucobay] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	baitangping	35865761	OMOP5021309	acarbose 50 MG Oral Tablet [Baitangping]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	kaboping	35865764	OMOP5021312	acarbose 50 MG [Kaboping]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	beixi	35865766	OMOP5021314	acarbose 50 MG [Beixi]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose abz	40882149	OMOP2080111	Acarbose 50 MG Oral Tablet [Acarbose Abz] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	40882150	OMOP2080112	Acarbose 100 MG Oral Tablet [Glucobay] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose al	40882151	OMOP2080113	Acarbose 100 MG Oral Tablet [Acarbose Al] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose ct	41020412	OMOP2218374	Acarbose Oral Tablet [Acarbose Ct]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose 1a pharma	41051643	OMOP2249605	Acarbose Oral Tablet [Acarbose 1a Pharma]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose stada	41069107	OMOP2267069	Acarbose 50 MG Oral Tablet [Acarbose Stada] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose ratiopharm	41069108	OMOP2267070	Acarbose 50 MG Oral Tablet [Acarbose Ratiopharm]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	41069111	OMOP2267073	Acarbose 100 MG Oral Tablet [Glucobay] Box of 252	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose dura	41100597	OMOP2298559	Acarbose 100 MG Oral Tablet [Acarbose Dura] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose stada	41131899	OMOP2329861	Acarbose 50 MG Oral Tablet [Acarbose Stada] Box of 21	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	acarbose 1a pharma	41194546	OMOP2392508	Acarbose 50 MG Oral Tablet [Acarbose 1a Pharma]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BF01	acarbose; oral	glucobay	41194548	OMOP2392510	Acarbose 100 MG Oral Tablet [Glucobay] Box of 105	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
