CONCEPT_CODE,CONCEPT_NAME,DOMAIN_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,VOCABULARY_ID,VOCABULARY_NAME,brand_name
OMOP4958806,metformin 500 MG / rosuvastatin 5 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958811,metformin / rosuvastatin Extended Release Oral Tablet [RM],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,rm
OMOP4958818,metformin 750 MG Extended Release Oral Tablet [Diaformin],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,diaformin
OMOP4958822,metformin 500 MG Oral Tablet [MEFORMIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,meformin
OMOP4958827,metformin 500 MG Oral Tablet [EMFORMIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,emformin
OMOP4958831,metformin 500 MG Oral Tablet [MEFODIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,mefodin
OMOP4958833,metformin 500 MG Oral Tablet [MEPONIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,meponin
OMOP4958835,metformin 500 MG Oral Tablet [MESOFO],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,mesofo
OMOP4958839,metformin 500 MG Oral Tablet [METRIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metrin
OMOP4958858,metformin 500 MG Extended Release Oral Tablet [DAIMIT],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,daimit
OMOP4958861,metformin 500 MG Extended Release Oral Tablet [GLUFORMIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,gluformin
OMOP4958880,metformin 500 MG Extended Release Oral Tablet [METGLU],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metglu
OMOP4958884,metformin 500 MG Extended Release Oral Tablet [METOMIN],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metomin
OMOP4958891,metformin 500 MG [DIAMETONE],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,diametone
OMOP4958894,metformin 500 MG [ILYANG METFOR],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,ilyang metfor
OMOP4958916,metformin 250 MG [Diaformin],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,diaformin
OMOP4958917,metformin 250 MG [GLUMEFORMIN],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,glumeformin
OMOP4958919,metformin Oral Tablet [MEFORMIN],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,meformin
OMOP4958920,metformin Oral Tablet [EMFORMIN],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,emformin
OMOP4958921,metformin Oral Tablet [LEXTFORMIN],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,lextformin
OMOP4958922,metformin Oral Tablet [MEFODIN],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,mefodin
OMOP4958929,metformin Extended Release Oral Tablet [GLUPA],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,glupa
OMOP4958930,metformin Extended Release Oral Tablet [GLUCERA],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,glucera
OMOP5137773,metformin 1000 MG Oral Tablet [Glucomet],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,glucomet
OMOP5137774,metformin 1000 MG Oral Tablet [Formet] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,formet
OMOP5137775,metformin 1000 MG Oral Tablet [Formet] Box of 60,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,formet
OMOP5137783,metformin 1000 MG Oral Tablet [Diaformin] Box of 10,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaformin
OMOP5137807,metformin 1000 MG Extended Release Oral Tablet [Diaformin] Box of 30,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaformin
OMOP5137813,metformin 1000 MG Extended Release Oral Tablet [DIABEX XR] Box of 30,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diabex xr
OMOP5137834,metformin 1000 MG Extended Release Oral Tablet [Diaxemet] Box of 120,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137836,metformin 1000 MG Extended Release Oral Tablet [Diaxemet] Box of 90,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137845,metformin 850 MG Oral Tablet [DIAMET] Box of 60,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diamet
OMOP5137856,metformin 850 MG [DIAMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,diamet
OMOP5137857,metformin 850 MG [Medformin],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,medformin
OMOP5137877,metformin 750 MG Extended Release Oral Tablet [Diaxemet] Box of 240,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137881,metformin 750 MG Extended Release Oral Tablet [Diaxemet] Box of 60,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137884,metformin 750 MG Extended Release Oral Tablet [Diaxemet],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137885,metformin 750 MG [DIABEX XR],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,diabex xr
OMOP5137892,metformin 500 MG Oral Tablet [DIAMET] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diamet
OMOP5137914,metformin 500 MG Extended Release Oral Tablet [Glucomet],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,glucomet
OMOP5137915,metformin 500 MG Extended Release Oral Tablet [Glucohexal] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucohexal
OMOP5137932,metformin 500 MG Extended Release Oral Tablet [DIABEX XR] Box of 30,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diabex xr
OMOP5137981,metformin 500 MG Extended Release Oral Tablet [Diaxemet] Box of 720,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137982,metformin 500 MG Extended Release Oral Tablet [Diaxemet] Box of 500,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137985,metformin 500 MG Extended Release Oral Tablet [Diaxemet] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diaxemet
OMOP5137993,metformin 500 MG Extended Release Oral Tablet [Medformin],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,medformin
OMOP5137998,metformin 250 MG Oral Tablet [Formet],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,formet
OMOP5138010,metformin 250 MG Oral Tablet [Medformin],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,medformin
OMOP5138011,metformin 250 MG [Formet],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,formet
OMOP5138012,metformin 250 MG [Medformin],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,medformin
OMOP5138021,metformin Extended Release Oral Tablet [Medformin],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,medformin
OMOP351184,Metformin 500 MG Extended Release Oral Tablet [Diagemet] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diagemet
OMOP351356,Metformin 1000 MG Extended Release Oral Tablet [Metabet SR] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metabet sr
OMOP351353,Metformin 1000 MG Extended Release Oral Tablet [Metabet SR] Box of 28,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metabet sr
OMOP351122,Metformin 500 MG Oral Tablet [Glucophage] Box of 84,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP351212,Metformin 500 MG Extended Release Oral Tablet [Glucophage] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP351128,Metformin 500 MG Oral Tablet [Glyformin] Box of 500,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glyformin
OMOP351326,Metformin 1000 MG [Metabet SR],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,metabet sr
OMOP351364,Metformin 1000 MG Extended Release Oral Tablet [Glucient] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucient
OMOP351416,Metformin 100 MG/ML Oral Solution [Metsol],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metsol
OMOP351366,Metformin 1000 MG Extended Release Oral Tablet [Sukkarto SR],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,sukkarto sr
OMOP351384,Metformin 1000 MG Extended Release Oral Tablet [Glucophage] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP351182,Metformin 500 MG Extended Release Oral Tablet [Diagemet] Box of 28,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,diagemet
OMOP351350,Metformin 1000 MG Extended Release Oral Tablet [Metabet SR],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metabet sr
OMOP351012,Metformin Oral Tablet [Glyformin],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,glyformin
OMOP351373,Metformin 1000 MG Extended Release Oral Tablet [Bolamyn SR] Box of 28,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,bolamyn sr
OMOP351193,Metformin 500 MG Extended Release Oral Tablet [Bolamyn SR] Box of 28,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,bolamyn sr
OMOP351402,Metformin 100 MG/ML [Metsol],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,metsol
OMOP351327,Metformin 1000 MG [Glucient],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,glucient
OMOP351375,Metformin 1000 MG Extended Release Oral Tablet [Bolamyn SR] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,bolamyn sr
OMOP321634,100 ML Metformin 100 MG/ML Oral Solution [Metsol],Drug,Quant Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metsol
OMOP351161,Metformin 500 MG Extended Release Oral Tablet [Metabet SR],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metabet sr
OMOP351368,Metformin 1000 MG Extended Release Oral Tablet [Sukkarto SR] Box of 56,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,sukkarto sr
OMOP4789471,Metformin Oral Tablet [Metgluco],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,metgluco
OMOP4794957,Metformin Oral Tablet [Nelbis],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,nelbis
OMOP4795967,Metformin 250 MG Oral Tablet [Nelbis],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,nelbis
OMOP4802030,Metformin Oral Tablet [Glycoran],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,glycoran
OMOP4808301,Metformin 250 MG [Metgluco],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,metgluco
OMOP4808705,Metformin 250 MG [Nelbis],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,nelbis
OMOP2768551,Metformin 850 MG Delayed Release Oral Tablet [Glucophage],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP5021873,metformin 500 MG [Maitemei],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,maitemei
OMOP5021883,metformin 250 MG Oral Tablet [Junfule],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,junfule
OMOP5021884,metformin 250 MG Oral Tablet [Tangkejie],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,tangkejie
OMOP5021885,metformin 250 MG Oral Tablet [Tangping],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,tangping
OMOP5021886,metformin 250 MG Oral Tablet [Tangkening],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,tangkening
OMOP5021889,metformin 250 MG Oral Tablet [Anhe],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,anhe
OMOP5021892,metformin 250 MG Oral Tablet [Huiluoping],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,huiluoping
OMOP5021893,metformin 250 MG Oral Tablet [Baikang],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,baikang
OMOP5021895,metformin 250 MG Oral Tablet [Ruinuoshu],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,ruinuoshu
OMOP5021910,metformin 250 MG Oral Capsule [Tangluo],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,tangluo
OMOP5021913,metformin 250 MG Oral Capsule [Pulekangni],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,pulekangni
OMOP5021917,metformin 250 MG Oral Capsule [Qiting],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,qiting
OMOP5021918,metformin 250 MG [Gewansi],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,gewansi
OMOP5021923,metformin 250 MG [Zhaowei],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,zhaowei
OMOP5021928,metformin 250 MG [Kemaining],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,kemaining
OMOP5021931,metformin 250 MG [Junfule],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,junfule
OMOP5021932,metformin 250 MG [Tangkejie],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,tangkejie
OMOP5021935,metformin 250 MG [Tanglike],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,tanglike
OMOP5021937,metformin 250 MG [Weineng],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,weineng
OMOP5021938,metformin 250 MG [Anhe],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,anhe
OMOP5021942,metformin 250 MG [Siyi],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,siyi
OMOP5021943,metformin 250 MG [Huiluoping],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,huiluoping
OMOP5021945,metformin 250 MG [Naxun],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,naxun
OMOP5021946,metformin 250 MG [Pulekangni],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,pulekangni
OMOP5021949,metformin 250 MG [Ruilian],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,ruilian
OMOP5021952,metformin 250 MG [Lijiang],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lijiang
OMOP5021965,metformin Oral Tablet [Wansuqi],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,wansuqi
OMOP5021968,metformin Oral Tablet [Zhongshide],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,zhongshide
OMOP5021969,metformin Oral Tablet [Beishun],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,beishun
OMOP5021971,metformin Oral Tablet [Lilinuo],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,lilinuo
OMOP5021973,metformin Oral Tablet [Shuangli],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,shuangli
OMOP5021974,metformin Oral Tablet [Shuangpingle],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,shuangpingle
OMOP5021975,metformin Oral Tablet [Shuanggening],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,shuanggening
OMOP5021980,metformin Oral Tablet [Tangtan],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,tangtan
OMOP5021984,metformin Oral Tablet [Tangge],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,tangge
OMOP5021993,metformin Oral Tablet [Deaixin],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,deaixin
OMOP5021997,metformin Oral Tablet [Jienuoda],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,jienuoda
OMOP5022018,metformin Oral Tablet [Qizhiping],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,qizhiping
OMOP5022024,metformin Oral Capsule [Tangluo],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,tangluo
OMOP5022026,metformin Oral Capsule [Naxun],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,naxun
OMOP5022027,metformin Oral Capsule [Pulekangni],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,pulekangni
OMOP5022030,metformin Oral Capsule [Ganlikefu],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,ganlikefu
OMOP5022031,metformin Oral Capsule [Qiting],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,qiting
OMOP5021865,metformin 500 MG [Xintangping],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,xintangping
OMOP5021866,metformin 500 MG [Taibai],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,taibai
OMOP5021868,metformin 500 MG [Ruijiu],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,ruijiu
OMOP5021813,metformin 500 MG Oral Tablet [Renxin],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,renxin
OMOP5021815,metformin 500 MG Oral Tablet [Beishun],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,beishun
OMOP5021817,metformin 500 MG Oral Tablet [Shuanggening],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,shuanggening
OMOP5021822,metformin 500 MG Oral Tablet [Tangge],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,tangge
OMOP5021825,metformin 500 MG Oral Tablet [Hongfeikang],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,hongfeikang
OMOP5021831,metformin 500 MG Oral Tablet [Taibai],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,taibai
OMOP5021837,metformin 500 MG Oral Tablet [Maikeluoxin],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,maikeluoxin
OMOP5021842,metformin 500 MG Extended Release Oral Tablet [Junlida],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,junlida
OMOP5021843,metformin 500 MG [Lileer],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lileer
OMOP5021844,metformin 500 MG [Yuedaning],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,yuedaning
OMOP5021852,metformin 500 MG [Junlida],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,junlida
OMOP5021853,metformin 500 MG [Junshidaxin],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,junshidaxin
OMOP5021856,metformin 500 MG [Tangge],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,tangge
OMOP5021858,metformin 500 MG [Shengbangjie],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,shengbangjie
OMOP5021859,metformin 500 MG [Hongfeikang],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,hongfeikang
OMOP4990636,metformin Extended Release Oral Tablet [Glucorex],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,glucorex
OMOP5048914,metformin Oral Tablet [Axpinet],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,axpinet
OMOP5048918,metformin 500 MG Oral Tablet [Axpinet] Box of 28,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,axpinet
OMOP5048922,metformin 850 MG [Axpinet],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,axpinet
OMOP3118800,Metformin 850 MG Oral Tablet [METFORMINE MYLAN] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metformine mylan
OMOP3121324,Metformin 850 MG Delayed Release Oral Tablet [Metformax] Box of 120,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metformax
OMOP3122693,Metformin 850 MG [Metformax],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,metformax
OMOP3126453,Metformin 850 MG Oral Tablet [Glucophage] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP4760353,150 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias] Box of 1,Drug,Quant Branded Box,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4760354,150 ML Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias],Drug,Quant Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4760356,150 ML Metformin 200 MG/ML Oral Solution [Metfoliquid Gerias] Box of 1,Drug,Quant Branded Box,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4760357,150 ML Metformin 200 MG/ML Oral Solution [Metfoliquid Gerias],Drug,Quant Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4762512,Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias] Box of 1,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4762513,Metformin 100 MG/ML Oral Solution [Metfoliquid Gerias],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,metfoliquid gerias
OMOP4773457,Metformin 850 MG Extended Release Oral Tablet [METFORMINE MYLAN] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metformine mylan
OMOP4773460,Metformin 850 MG Extended Release Oral Tablet [Glucophage] Box of 100,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,glucophage
OMOP4773468,Metformin 500 MG Extended Release Oral Tablet [METFORMINE SANDOZ] Box of 60,Drug,Branded Drug Box,S,RxNorm Extension,OMOP RxNorm Extension,metformine sandoz
